title,company,location,salary_min,salary_max,avg_salary,description,created,category,skill_count
Data Analyst,Sia,"mumbai, maharashtra",500000.0,1000000.0,750000.0,"Job Description We are hiring a Power BI Developer to support our global internal teams (Finance, HR, Strategy, Corporate Functions) by delivering high-impact business intelligence dashboards, datasets, and analytics solutions. This role is critical for strengthening our internal reporting systems and driving data-backed decision-making across the organization. Key Responsibilities Design, maintain, and enhance internal Power BI dashboards and analytics for Corporate Finance and other functions…",2026-07-24T01:04:13Z,IT Jobs,1
Data Analyst,Ubisoft,"pune, maharashtra",500000.0,1000000.0,750000.0,"Job Description Impact - Enable data-driven decisions for leaders for LiveOps events, feature launches, and content updates through dashboards by defining datasets. Track KPIs including and not limited upto - Daily Active Users (DAU), Retention Rate, Churn Rate, ARPU (Average Revenue Per User), and session metrics. Make daily / weekly/monthly reports on player behavior, performance accuracy, engagement, and monetization / revenue trends to improve visibility. Proactively identify patterns, anom…",2026-07-16T06:56:15Z,IT Jobs,0
Data Analyst,Digital Twin,"pune, maharashtra",500000.0,1000000.0,750000.0,"Job Summary - Data Analyst We are looking to hire a data analyst to join our enterprise customer solutions team. As a Data Analyst, one will take responsibility for developing reports, and troubleshooting data issues. To do well in this role you need attention to detail, past experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. Data Analyst Responsibilities: ● Commissioning and decommissioning of data sets. ● Processing confidential data and i…",2026-05-21T02:12:34Z,IT Jobs,0
Data Analyst,SveltetechTechnologies Pvt Ltd,"delhi, india",0.0,300000.0,150000.0,"Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Responsibilities Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies tha…",2021-02-15T04:27:43Z,IT Jobs,0
Data Analyst,Qrata,"delhi, india",1000000.0,1200000.0,1100000.0,"Job Title: Data Analyst Job Brief: The successful candidate will turn data into information, information into insight and insight into business decisions. Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. About Us We began in 2015 with an entrepreneuria…",2024-01-07T15:08:07Z,IT Jobs,0
Data Analyst,Amicus Therapeutics,"bangalore, karnataka",500000.0,1000000.0,750000.0,"Position Description Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and qua…",2025-04-16T01:41:37Z,IT Jobs,0
Data Analyst,Amicus India,"bangalore, karnataka",500000.0,1000000.0,750000.0,"Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing, and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans t…",2026-05-30T02:27:15Z,IT Jobs,0
Data Analyst,Aliqan Services,"chennai, tamil nadu",500000.0,1000000.0,750000.0,"Data Analyst (6 years) Insurance domain for 3-4 Years Proficiency in data querying, reporting, and visualization tools Role: Other Industry Type: Insurance Department: Other Employment Type: Full Time, Permanent Role Category: Other Education UG: B.Tech/B.E. in Any Specialization Skills: Data Visualization, data reporting, Data Analyst Experience: 6.00-10.00 Years",2026-07-10T07:19:30Z,IT Jobs,1
Data Analyst,Aliqan Services,"gurgaon, haryana",500000.0,1000000.0,750000.0,"Data Analyst (6 years) Insurance domain for 3-4 Years Proficiency in data querying, reporting, and visualization tools Role: Other Industry Type: Insurance Department: Other Employment Type: Full Time, Permanent Role Category: Other Education UG: B.Tech/B.E. in Any Specialization Skills: Data Visualization, data reporting, Data Analyst Experience: 6.00-10.00 Years",2026-07-10T07:19:30Z,IT Jobs,1
Data Analyst,Leading Client,"hyderabad, telangana",500000.0,1000000.0,750000.0,"Job Description Role Overview: We are looking for an experienced Data Business Analyst with strong exposure to Snowflake and Databricks who can work closely with business stakeholders and analytics teams.Job Title: Data Business Analyst Key Skills & Experience: 5 years of experience as a Business Analyst / Data Business Analyst Strong hands-on experience with Snowflake and Databricks Advanced SQL skills for data analysis and validation Experience with data pipelines, ETL processes , and data qu…",2026-05-12T05:45:42Z,IT Jobs,2
